,Product_ID,Sales_Agent,Status,Created_hour,Created_min,Created_day,Created_month,Source_freq_encode,Location_freq_encode,Delivery_Mode_Mode-1,Delivery_Mode_Mode-2,Delivery_Mode_Mode-3,Delivery_Mode_Mode-4,Delivery_Mode_Mode-5
0,9,3,1,18,51,13,11,0.36340065502183405,0.28370633187772926,1,0,0,0,0
1,19,4,1,18,48,13,11,0.3460698689956332,0.3541211790393013,0,0,0,0,1
2,18,11,1,17,9,13,11,0.2368995633187773,0.3541211790393013,1,0,0,0,0
3,15,7,0,16,49,13,11,0.2368995633187773,0.07191593886462883,1,0,0,0,0
4,18,7,1,16,37,13,11,0.3460698689956332,0.28370633187772926,1,0,0,0,0
5,18,9,0,16,35,13,11,0.36340065502183405,0.3541211790393013,0,0,1,0,0
6,27,11,1,16,9,13,11,0.3460698689956332,0.12377183406113537,0,0,0,0,1
7,19,4,1,15,50,13,11,0.36340065502183405,0.028930131004366814,0,1,0,0,0
8,19,4,0,15,30,13,11,0.36340065502183405,0.028930131004366814,0,0,0,1,0
9,18,7,0,15,16,13,11,0.3460698689956332,0.28370633187772926,1,0,0,0,0
10,27,11,1,15,15,13,11,0.36340065502183405,0.07191593886462883,0,0,1,0,0
11,9,7,1,14,11,13,11,0.028930131004366814,0.28370633187772926,0,0,0,1,0
12,9,4,1,13,53,13,11,0.3460698689956332,0.28370633187772926,1,0,0,0,0
13,9,11,1,13,52,13,11,0.2368995633187773,0.28370633187772926,1,0,0,0,0
14,19,7,0,13,34,13,11,0.2368995633187773,0.3541211790393013,1,0,0,0,0
15,18,9,1,13,15,13,11,0.36340065502183405,0.28370633187772926,1,0,0,0,0
16,5,7,1,12,50,13,11,0.36340065502183405,0.028930131004366814,0,0,1,0,0
17,19,4,1,12,40,13,11,0.36340065502183405,0.06413755458515284,0,0,0,1,0
18,9,4,1,12,26,13,11,0.3460698689956332,0.12377183406113537,0,0,0,0,1
19,9,11,0,12,15,13,11,0.36340065502183405,0.028930131004366814,0,0,1,0,0
20,18,9,0,11,56,13,11,0.3460698689956332,0.12377183406113537,1,0,0,0,0
21,1,9,1,11,29,13,11,0.3460698689956332,0.3541211790393013,0,0,0,0,1
22,9,11,1,11,29,13,11,0.3460698689956332,0.28370633187772926,0,0,0,0,1
23,15,11,0,11,28,13,11,0.3460698689956332,0.3541211790393013,0,0,0,0,1
24,15,7,0,11,27,13,11,0.3460698689956332,0.3541211790393013,0,0,0,0,1
25,19,4,0,11,25,13,11,0.36340065502183405,0.3541211790393013,0,0,0,0,1
26,15,7,0,11,20,13,11,0.3460698689956332,0.3541211790393013,0,0,0,0,1
27,1,4,1,11,15,13,11,0.3460698689956332,0.3541211790393013,0,0,0,0,1
28,18,4,1,11,10,13,11,0.3460698689956332,0.28370633187772926,0,0,0,0,1
29,15,11,1,11,9,13,11,0.3460698689956332,0.3541211790393013,0,0,0,0,1
30,9,4,0,11,9,13,11,0.3460698689956332,0.054448689956331876,0,0,0,0,1
31,15,7,0,11,8,13,11,0.3460698689956332,0.3541211790393013,0,0,0,0,1
32,9,9,1,11,8,13,11,0.3460698689956332,0.28370633187772926,1,0,0,0,0
33,19,9,1,11,7,13,11,0.3460698689956332,0.28370633187772926,1,0,0,0,0
34,9,9,1,11,0,13,11,0.028930131004366814,0.12377183406113537,1,0,0,0,0
35,5,9,1,10,30,13,11,0.36340065502183405,0.028930131004366814,0,0,1,0,0
36,27,4,1,10,18,13,11,0.2368995633187773,0.07191593886462883,1,0,0,0,0
37,18,11,0,9,21,13,11,0.2368995633187773,0.3541211790393013,0,0,1,0,0
38,9,9,1,9,0,13,11,0.2368995633187773,0.28370633187772926,1,0,0,0,0
39,18,4,1,22,33,12,11,0.2368995633187773,0.28370633187772926,1,0,0,0,0
40,19,9,1,20,30,12,11,0.2368995633187773,0.3541211790393013,1,0,0,0,0
41,19,7,0,20,28,12,11,0.2368995633187773,0.06413755458515284,0,0,1,0,0
42,19,11,1,19,43,12,11,0.2368995633187773,0.12377183406113537,1,0,0,0,0
43,15,9,0,18,55,12,11,0.2368995633187773,0.3541211790393013,0,0,1,0,0
44,19,11,1,18,38,12,11,0.3460698689956332,0.28370633187772926,0,0,0,0,1
45,19,4,1,18,16,12,11,0.3460698689956332,0.12377183406113537,1,0,0,0,0
46,27,4,1,17,55,12,11,0.36340065502183405,0.3541211790393013,0,0,1,0,0
47,18,7,1,17,25,12,11,0.36340065502183405,0.3541211790393013,0,0,1,0,0
48,18,11,1,17,23,12,11,0.2368995633187773,0.12377183406113537,1,0,0,0,0
49,9,9,1,15,25,12,11,0.36340065502183405,0.028930131004366814,0,0,1,0,0
50,19,11,1,15,21,12,11,0.2368995633187773,0.3541211790393013,1,0,0,0,0
51,9,7,1,15,19,12,11,0.3460698689956332,0.07191593886462883,1,0,0,0,0
52,15,9,0,15,17,12,11,0.3460698689956332,0.3541211790393013,0,0,0,0,1
53,15,7,0,15,16,12,11,0.3460698689956332,0.3541211790393013,0,0,0,0,1
54,15,11,0,15,15,12,11,0.3460698689956332,0.3541211790393013,0,0,0,0,1
55,15,4,0,15,15,12,11,0.3460698689956332,0.3541211790393013,0,0,0,0,1
56,1,11,0,15,15,12,11,0.36340065502183405,0.28370633187772926,1,0,0,0,0
57,10,4,1,15,8,12,11,0.2368995633187773,0.28370633187772926,0,0,0,0,1
58,18,11,0,14,31,12,11,0.2368995633187773,0.3541211790393013,1,0,0,0,0
59,9,9,1,14,30,12,11,0.36340065502183405,0.28370633187772926,1,0,0,0,0
60,9,4,1,14,13,12,11,0.3460698689956332,0.12377183406113537,0,1,0,0,0
61,18,9,1,13,45,12,11,0.36340065502183405,0.12377183406113537,1,0,0,0,0
